sep=,
Make,Model,Modulation,Weight (g),L (mm),C (mm),A (mm),TensãoTorque1,Torque1 (kgf.cm),TensãoTorque2,Torque2 (kgf.cm),TensãoTorque3,Torque3 (kgf.cm),TensãoTorque4,Torque4 (kgf.cm),TensãoTorque5,Torque5 (kgf.cm),TensãoSpeed1,Speed1 (°/s),TensãoSpeed2,Speed2 (°/s),TensãoSpeed3,Speed3 (°/s),TensãoSpeed4,Speed4 (°/s),TensãoSpeed5,Speed5 (°/s),Motor Type,Rotation,Gear Material,Typical Price
PingZheng,PZ-15228A*,Analog,16.44,22.61,12.45,29.21,4.8,2.00,6.0,2.50,,,,,,,4.8,400.00,6.0,461.54,,,,,,,-,Single Bearing,Plastic,$10.50
PingZheng,PZ-15238*,Analog,3.40,19.30,8.38,19.81,4.8,0.40,6.0,0.50,,,,,,,4.8,666.67,6.0,750.00,,,,,,,-,Bushing,Plastic,$7.50
PingZheng,PZ-15238A*,Analog,3.40,19.30,8.38,19.81,4.8,0.40,6.0,0.50,,,,,,,4.8,666.67,6.0,750.00,,,,,,,Coreless,-,Plastic,$7.50
PingZheng,PZ-15248*,Analog,5.95,21.34,11.43,20.07,4.8,0.60,6.0,0.70,,,,,,,4.8,666.67,6.0,750.00,,,,,,,-,Bushing,Plastic,$7.50
PingZheng,PZ-15258*,Analog,6.24,21.34,11.43,22.86,4.8,0.70,6.0,0.80,,,,,,,4.8,600.00,6.0,750.00,,,,,,,-,-,Plastic,$7.50
PingZheng,PZ-15268*,Analog,49.04,40.13,20.07,38.10,6.0,6.05,,,,,,,,,6.0,375.00,,,,,,,,,-,Dual Bearings,Metal,$19.80
PingZheng,PZ-15288*,Digital,46.49,40.13,20.07,38.10,6.0,9.00,,,,,,,,,6.0,300.00,,,,,,,,,-,Dual Bearings,Metal,$28.00
PingZheng,PZ-15298*,Digital,60.95,40.13,20.07,36.58,6.0,14.00,,,,,,,,,6.0,461.54,,,,,,,,,Coreless,Bushing,Metal,$37.50
PingZheng,PZ-15298A*,Digital,66.05,40.13,20.07,36.58,7.4,15.12,,,,,,,,,7.4,545.45,,,,,,,,,Coreless,Dual Bearings,Hybrid,-
PingZheng,PZ-15298B*,Digital,66.05,40.13,20.07,36.58,7.4,20.16,,,,,,,,,7.4,375.00,,,,,,,,,Coreless,Dual Bearings,Hybrid,-
PingZheng,PZ-15318*,Analog,2.27,16.00,8.13,16.51,4.8,0.20,,,,,,,,,4.8,750.00,,,,,,,,,Coreless,Bushing,Plastic,-
PingZheng,PZ-15358*,Digital,49.04,40.13,20.07,36.32,4.8,3.38,,,,,,,,,4.8,1000.00,,,,,,,,,Coreless,Dual Bearings,Plastic,$32.00
PingZheng,PZ-15358B*,Digital,49.04,40.13,20.07,36.32,4.8,3.38,,,,,,,,,4.8,1000.00,,,,,,,,,Coreless,Dual Bearings,Plastic,-
Pontech,CS-10*,-,5.39,22.86,9.40,15.49,4.8,0.50,6.0,0.58,,,,,,,4.8,666.67,6.0,857.14,,,,,,,-,-,-,-
Pontech,CS-100*,-,34.02,45.21,22.61,24.64,4.8,7.40,6.0,8.00,,,,,,,4.8,120.00,6.0,181.82,,,,,,,-,-,-,-
Pontech,CS-20*,-,9.07,21.84,10.92,19.81,4.8,0.79,6.0,1.01,,,,,,,4.8,545.45,6.0,666.67,,,,,,,-,-,-,-
Pontech,CS-600*,-,147.98,61.98,32.00,55.88,4.8,18.00,6.0,23.98,,,,,,,4.8,214.29,6.0,272.73,,,,,,,-,-,-,-
Pontech,FP-S148*,-,42.52,40.39,19.56,35.56,4.8,3.02,,,,,,,,,4.8,272.73,,,,,,,,,-,-,-,-
Power HD,1250MG,-,24.95,30.99,16.26,29.46,4.8,3.00,6.0,3.50,,,,,,,4.8,428.57,6.0,500.00,,,,,,,DC,Bushing,Metal,$13.95
Power HD,1810MG,-,15.88,22.86,11.94,29.46,4.8,3.10,6.0,3.90,,,,,,,4.8,375.00,6.0,461.54,,,,,,,Coreless,Single Bearing,Metal,$33.99
Power HD,1810S,-,15.88,22.86,11.94,29.46,4.8,3.10,6.0,3.90,,,,,,,4.8,375.00,6.0,461.54,,,,,,,DC,Single Bearing,Metal,$33.99
Power HD,1812MG,-,56.13,40.64,20.57,39.62,4.8,16.00,6.0,18.00,,,,,,,4.8,428.57,6.0,500.00,,,,,,,DC,Dual Bearings,Metal,$19.99
Power HD,A-40CHV,-,79.95,40.64,20.57,38.61,6.0,25.01,7.4,35.01,8.4,40.01,,,,,6.0,428.57,7.4,500.00,8.4,600.00,,,,,Coreless,Dual Bearings,Steel,-
Power HD,A-50CHV,-,79.95,40.64,20.57,38.61,6.0,35.01,7.4,45.01,8.4,50.01,,,,,6.0,315.79,7.4,352.94,8.4,375.00,,,,,Coreless,Dual Bearings,Steel,-
Power HD,AR-3606HB,-,39.97,40.39,20.07,38.10,4.8,6.00,6.0,6.70,,,,,,,4.8,375.00,6.0,428.57,,,,,,,DC,Dual Bearings,Plastic,$42.99
Power HD,B2S,-,66.90,40.89,20.57,38.35,6.0,38.01,7.4,45.01,8.4,50.01,,,,,6.0,400.00,7.4,500.00,8.4,600.00,6.0,400.00,7.4,500.00,Brushless,Dual Bearings,Titanium,-
Power HD,B3S,-,66.90,40.89,20.57,38.35,6.0,30.01,7.4,35.01,8.4,40.01,,,,,6.0,545.45,7.4,600.00,8.4,750.00,6.0,545.45,7.4,600.00,Brushless,Dual Bearings,Titanium,-
Power HD,B4S,-,66.90,40.89,20.57,38.35,6.0,21.00,7.4,25.01,8.4,32.01,,,,,6.0,666.67,7.4,750.00,8.4,857.14,6.0,666.67,7.4,750.00,Brushless,Dual Bearings,Titanium,-
